Cluster Size,Average Response Time (ms),Total Response Time (s)
1,6434.064586162567,643.4064586162567
2,2600.9466004371643,260.09466004371643
4,1315.560646057129,131.5560646057129
8,613.2299661636353,61.322996616363525
16,307.46630668640137,30.746630668640137
32,160.0948190689087,16.00948190689087
